,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
47,0.687,0.845,-4.129,0.0283,0.00764,0.0,0.0302,0.914,108.039,2pd1r20Sxx2PWDICFKECKi,202893
48,0.764,0.724,-7.231,0.103,0.00316,0.0,0.259,0.563,124.468,4Wyrppmuf8Gwi9v8dQwGxy,237240
49,0.464,0.905,-5.38,0.0694,0.000179,3.2e-06,0.212,0.565,164.252,4fRBgRGpIfCfuIHLWSBK4h,182533
50,0.719,0.697,-8.791,0.0292,0.00302,0.00122,0.108,0.69,126.999,5OiZBzuWxhCWML6ntf62cU,202000
51,0.782,0.821,-7.112,0.142,0.101,0.0,0.167,0.961,150.068,7LIcw6vIi9EROpmuBNa9wV,268867
52,0.745,0.606,-8.319,0.0579,0.00754,0.0132,0.103,0.736,111.051,4UX1SyMfLnrUOir7VRTwbR,321613
53,0.421,0.93,-5.735,0.0882,0.017,0.0,0.891,0.3,115.057,6V55y9Ba7O1j8J9EFAxtwv,356760
54,0.845,0.553,-10.052,0.0508,0.00512,0.0239,0.122,0.602,122.424,6Tu5dahcR2fjSRUlKsm5zq,396033
55,0.278,0.845,-5.727,0.0601,0.000967,0.723,0.0683,0.239,136.219,5DhR2BlhEt6jfXuIrxMNcf,253040
56,0.552,0.795,-5.811,0.04,0.355,5.38e-06,0.439,0.749,116.546,493ZYZqnZZR6rKBOwjw3R2,189027
57,0.628,0.519,-5.973,0.0329,0.817,0.0,0.141,0.736,146.207,1Q9ePyZ6uZEU6Mmiux9KiE,174227
58,0.338,0.839,-10.797,0.0817,0.142,0.000285,0.703,0.735,111.829,3eqdRp8TvH23oXAZNOUgj0,245440
59,0.106,0.225,-16.793,0.0399,0.959,0.245,0.348,0.036,80.764,1ZqkuE5CLaAnpLiDTCqe1b,400160
60,0.527,0.8,-8.166,0.047,0.368,0.0,0.0552,0.694,158.366,73Krp0Hr9m8CcvJisAFYuS,166760
61,0.746,0.744,-5.56,0.254,0.067,0.0,0.279,0.452,162.964,1KzNsOkpQthVwpCJrADJEQ,184964
62,0.605,0.92,-2.298,0.0713,0.0012,0.000596,0.483,0.219,174.974,3FUZpoj9VV0sgc8RqbS3xQ,200787
63,0.513,0.971,-4.046,0.0828,1.06e-05,0.488,0.335,0.54,112.471,2fTAH7pXDArl5pvfNyxyLk,213633
64,0.753,0.703,-3.417,0.212,0.144,0.0,0.325,0.642,149.991,1Dk3CfJEtqvj7Xg2AWwfEn,262400
65,0.565,0.825,-4.245,0.0417,0.00303,0.0,0.0779,0.609,160.003,2TLDilmv1UmRTfyb7f2Hrx,218733
66,0.698,0.839,-3.026,0.0961,0.0646,0.000117,0.254,0.717,101.823,0QtlWFjqdiMyH78LBhNEeC,275960
67,0.692,0.732,-5.956,0.0626,0.0862,0.0,0.0807,0.761,112.997,1A8yFROvrvpFMklhEpqLfc,193427
68,0.626,0.79,-6.596,0.0393,0.0358,0.246,0.366,0.05,126.991,6zzeHA0z3jXBw1KRCVd1z1,302364
69,0.772,0.663,-6.845,0.0645,0.192,1.33e-06,0.288,0.681,96.989,2bZmrdAb8QPC1DJDfCxdyH,236280
70,0.462,0.825,-4.981,0.0473,0.00355,0.0,0.151,0.2,95.354,1n8qZkWe2nHhkknaR4x2mK,263053
71,0.536,0.626,-15.562,0.0926,0.574,0.0003,0.462,0.497,135.142,2vEkpTQX5GV75KKMtB55w5,153779
72,0.605,0.853,-8.996,0.0694,0.191,1.23e-05,0.0606,0.501,115.083,5Ard7Os60YgM0rgyZ6v7ed,287507
73,0.593,0.331,-9.61,0.0285,0.177,2.17e-05,0.109,0.082,140.07,2jnLUIfUp4xPKtgfd0texE,212093
74,0.61,0.846,-6.951,0.0319,0.214,1.73e-05,0.293,0.872,122.651,79BxeZbvrXLzpZ4GZBbURQ,263173
75,0.721,0.431,-15.896,0.125,0.00462,6.14e-06,0.245,0.721,129.974,2cMyMGCgJB2k3HryFl199K,84467
76,0.352,0.82,-5.297,0.0584,0.00266,0.00406,0.0985,0.0388,146.108,0wDwD2ueQOp54gzUhP5LX1,284333
77,0.719,0.615,-13.674,0.122,0.0345,0.0492,0.0573,0.961,170.888,1TB0dZqFRQsnf4fLLLRKQV,283573
78,0.465,0.214,-21.246,0.085,0.884,0.561,0.251,0.751,139.738,2DfBDaSsylxKL3TWq0jIhK,190640
79,0.364,0.647,-3.357,0.0281,0.075,0.00218,0.101,0.439,170.898,0tuquV7x0ni4dnYkvP0xFz,233560
80,0.198,0.00254,-30.102,0.0588,0.995,0.991,0.098,0.0337,67.529,4IJ2Bbi3alh0JmMVuLAKzm,76949
81,0.191,0.96,-7.004,0.134,9.61e-06,0.36,0.0968,0.33,139.411,6FlPM21bXnQucp0AnoL64q,256787
82,0.383,0.989,-2.602,0.158,0.000444,0.00138,0.431,0.121,146.102,3ADydD5wW87LneWmK8mho4,223107
83,0.137,0.821,-9.202,0.0805,0.313,0.0101,0.124,0.432,174.683,5xOGL1zOBnHVkzGzGqMDFM,330280
84,0.423,0.956,-4.162,0.0649,0.00449,0.000548,0.304,0.41,85.822,5wRZeXFj2lBXOyfdW9G2tT,260267
85,0.224,0.949,-5.137,0.0674,0.00636,0.0321,0.324,0.559,204.75,4i2F35b5tamKhvMsf0wuuL,216053
86,0.623,0.982,-4.552,0.0507,0.00895,0.0,0.116,0.734,128.067,1Fc6m5d5oBYS91HjPdPd9h,267093
87,0.261,0.293,-13.238,0.0329,0.83,0.721,0.74,0.0421,127.702,0g0jbM2QWWDZzWsR0TuqHa,125345
88,0.576,0.626,-6.407,0.0427,0.0185,0.000794,0.0867,0.605,170.013,2FXASmOGD4PuDq3ehwNTN0,249973
89,0.482,0.761,-10.798,0.0732,0.00637,0.171,0.107,0.506,117.772,08LdOVC2YV3T8735mIpeIq,277691
90,0.435,0.874,-6.664,0.123,0.000337,0.0419,0.311,0.265,120.167,1vCyt68qNqXEtBqqfAIIJU,212253
91,0.732,0.68,-5.692,0.0299,0.103,0.000241,0.118,0.808,100.974,1YnF0VGnJzC5PWNQQZ8lz2,207213
92,0.582,0.673,-7.252,0.0243,0.0629,4.09e-05,0.328,0.356,91.496,1sLCZVLMxEQ86UgRWuTB9E,283080
93,0.814,0.813,-6.344,0.147,0.00022,0.893,0.371,0.223,128.012,2qdg4xVXTmw7m1TUQd9x4e,303760
94,0.394,0.135,-14.425,0.0298,0.919,1.39e-06,0.0844,0.136,86.297,6Yq5ZBeNPzMptTKkqLm1NR,269333
95,0.522,0.919,-5.748,0.0408,5.33e-06,0.00154,0.0636,0.316,90.0,5B6R9r5GJU8IuKhYw0Gb5A,256720
96,0.709,0.591,-7.703,0.0493,0.484,0.000199,0.104,0.46,95.009,2SvvIeAnpOFn7Tpzl5hUp2,294213
97,0.515,0.934,-5.079,0.0371,7.94e-05,0.0047,0.327,0.894,152.24,0JxuuJB6dPR2s0KL0su5F0,177560
98,0.746,0.771,-3.203,0.0325,0.0185,9.41e-05,0.194,0.852,96.336,0iPa3X8AriwvkXQcd7YAli,274987
99,0.385,0.889,-9.996,0.0987,0.258,0.0466,0.761,0.406,123.878,7JiB0PqMjk5Egj2P6PVpy9,293160
100,0.344,0.254,-15.677,0.0515,0.898,0.0176,0.7,0.319,141.215,7CidjEevpqxkPVVniWTEJQ,433307
101,0.191,0.958,-5.057,0.09,3.07e-05,0.00548,0.477,0.278,191.772,4uJZNQ89EVsHDXcIJ9mswp,272147
102,0.795,0.784,-4.587,0.0419,0.211,5.76e-05,0.313,0.592,113.002,43ipFNhUwI5hQXU8bRwT2o,242707
103,0.73,0.787,-5.97,0.0631,0.00296,0.0,0.178,0.617,97.406,0OTPauJ2wEjfCl96RpmVIo,224893
104,0.862,0.69,-6.509,0.155,0.0847,0.121,0.0643,0.964,124.64,0Ig8VkA9lIaPkO8Kahm64z,247000
105,0.816,0.892,-4.999,0.264,0.333,0.000298,0.305,0.854,126.165,5OGzWbdJVqlHGIVqqZyoPX,203827
106,0.333,0.969,-4.261,0.109,2.83e-05,0.0,0.0764,0.197,93.729,0wk0OSBzoHa2CKebuAXGmo,180480
107,0.661,0.901,-7.244,0.0633,0.0232,0.374,0.0255,0.828,173.923,58TSf5x34c1mK7xQBkNr3e,337427
108,0.415,0.862,-6.109,0.0683,0.0383,0.000843,0.412,0.0817,91.932,7GcKpueiFbWPYjBsODxLJf,355560
109,0.599,0.926,-2.831,0.183,0.0817,1.47e-05,0.0571,0.728,189.975,3XOphHLTzoVAEEwdXils4b,271387
110,0.39,0.998,-3.588,0.181,7.81e-05,0.184,0.212,0.0763,109.674,1jLg8xN119Wa922tk4iGrQ,149160
111,0.767,0.751,-9.536,0.0391,0.000631,0.000195,0.186,0.617,111.02,48FsqSKpgoZZFr6aS1IDK5,218080
112,0.536,0.368,-11.174,0.0256,0.412,4.93e-05,0.124,0.142,144.592,64QgokI96eZrb2BijoYwTq,241427
113,0.481,0.815,-7.392,0.0358,0.237,3.42e-05,0.151,0.454,130.031,6ZSIpIlntxRQo0jVLE8C4R,276973
114,0.534,0.95,-2.712,0.161,0.012,1.91e-06,0.413,0.527,140.071,308BpHy6evPQz9hSPpSLNf,207587
115,0.49,0.725,-3.304,0.0392,0.123,2.68e-05,0.0983,0.335,123.28,33fdvicpRVPWCPz19Obajn,240440
116,0.23,0.988,-3.467,0.115,1.51e-05,0.000274,0.0778,0.358,144.983,0IOkIQ1AeUQkZhnU6c7o6r,291493
117,0.78,0.0624,-15.981,0.0532,0.994,0.0384,0.143,0.447,85.214,2Pl43HGEzUPEt1u6qD8BOD,189931
118,0.735,0.774,-9.638,0.058,0.0102,0.84,0.0371,0.822,129.041,7z4k5HAftXyDGozzpecMDm,61440
119,0.441,0.868,-5.662,0.166,0.00341,0.865,0.105,0.118,137.454,6hhfqr7nQZodIeRR1LcIsL,223368
120,0.662,0.786,-4.803,0.211,0.0427,9.17e-05,0.235,0.372,140.104,6AZCaeXgzOkBcqiFwIVOC2,252333
121,0.362,0.992,-4.346,0.0946,0.000121,0.209,0.109,0.25,145.939,2R2BoHrZkbUgXExL7Y6jWo,214773
122,0.349,0.866,-6.676,0.112,0.0361,0.0406,0.216,0.488,167.951,26ZnmGlPGXaOzPDydAP9D5,186000
123,0.5,0.518,-11.275,0.101,0.23,0.000237,0.12,0.699,142.256,1Y7S7Opuh90QdV9ryx85HJ,410027
124,0.182,0.237,-18.379,0.058,0.948,0.00117,0.11,0.069,79.464,4YEIbdz5GKKFHw7flrjNDS,1102187
125,0.639,0.65,-8.997,0.0284,0.0211,0.000534,0.347,0.735,124.829,7hOvHDa1ptR4WN1AwD46QL,264267
126,0.589,0.616,-3.401,0.0986,0.517,9.33e-06,0.123,0.305,83.938,6PnmrzPJXoDBj5NKUCnC8e,217920
127,0.612,0.936,-3.729,0.0708,0.00177,1.03e-05,0.117,0.575,130.056,5MV6LwrPq7xaitgMu2dxrC,195594
128,0.557,0.0329,-22.128,0.0368,0.957,0.0651,0.0887,0.521,108.34,6VI2rezfkxFanqyTIMPRnA,155253
129,0.39,0.93,-4.036,0.056,0.00369,0.0,0.0639,0.597,135.418,0R4qjchMMElUO8rY8NsAGk,225253
130,0.654,0.109,-19.978,0.371,0.995,0.741,0.119,0.188,107.389,5Zs2K5S6dBJ5OeDvuYNQmj,188333
131,0.607,0.849,-5.064,0.0504,0.0618,3.31e-06,0.0793,0.664,115.992,6D8cAW4BtnKbqcPQYjcd00,229253
132,0.719,0.87,-4.682,0.0431,0.00212,9.7e-06,0.245,0.76,108.992,1cVW5RH3gQHqf7uiehSX8E,209653
133,0.742,0.678,-7.326,0.058,0.0898,0.0159,0.072,0.639,109.908,7I5XziRQhogHpWCEw8vIBo,260187
134,0.777,0.888,-4.171,0.107,0.0276,0.00145,0.0778,0.738,104.058,21L6aiVYqZOceYnsSvbhFL,258680
135,0.505,0.445,-15.511,0.12,0.436,0.827,0.323,0.707,119.403,60rhbQAxpE25XaLaV32b79,123293
136,0.422,0.554,-9.538,0.0283,0.0763,0.94,0.0654,0.249,79.792,0pHu4oucLEyB1lfbxeVKFB,218653
137,0.709,0.621,-9.029,0.0328,0.802,5.24e-06,0.108,0.266,86.991,1aPN4QlDIFWJNBaWGfQOeC,271400
138,0.701,0.755,-5.079,0.0618,0.0671,0.0,0.0692,0.475,94.006,2wCAU9U2kL123oIp88dKCo,211227
139,0.639,0.691,-7.21,0.0834,0.0561,0.0,0.0911,0.286,74.982,4Gn8x8KtzrFqEB9wDlBC8g,194427
140,0.0623,0.017,-22.815,0.039,0.925,0.959,0.0817,0.0398,66.123,1FwnmdZUxh0cTPavvow18n,477880
141,0.569,0.981,-3.603,0.131,0.0409,2.36e-06,0.4,0.278,136.265,7HmMND6RtYrJHJb1b5FOzn,213760
142,0.395,0.392,-8.034,0.0925,0.219,0.00173,0.134,0.103,155.856,432hUIl3ISDeytYW5XBQ5h,301587
143,0.75,0.579,-8.399,0.0425,0.784,0.0221,0.325,0.656,91.005,2jHSUyBKIrQLSzZGBvr5lx,273680
144,0.569,0.819,-6.438,0.31,0.29,0.0,0.512,0.63,118.475,4CLzQ2oeGhDUWfQjAOmkCY,176771
145,0.902,0.819,-3.321,0.316,0.041,0.0,0.106,0.745,89.0,0CBQ0m3mufWH75LTYB3s6h,186872
146,0.738,0.938,-5.707,0.043,0.0648,6.5e-06,0.105,0.684,115.005,5kvwpUVWvK2M95F9xY4vSz,395613
147,0.643,0.871,-2.734,0.118,0.491,0.0,0.29,0.452,121.569,3sQrBkXrTHt7gi49T5Y4rr,185187
148,0.632,0.494,-8.343,0.304,0.65,0.0178,0.0797,0.738,153.631,0jERMWliZS6tsrqScggAYe,155092
149,0.415,0.898,-9.321,0.0511,0.754,0.0111,0.688,0.338,106.027,5PwUJSVA2znNY2QDAtBXwk,166574
150,0.401,0.625,-8.621,0.0572,0.0328,0.275,0.0776,0.547,135.749,4fr4MI7NruXivG3LysaFVr,417227
151,0.568,0.499,-6.597,0.0288,0.635,0.0,0.122,0.243,143.761,3cFWIhrapYb2VoNOUbo9Re,208507
152,0.551,0.562,-6.862,0.163,0.0218,0.0,0.302,0.438,135.872,3BUWNzPWz2mDbptZmGEXpB,316192
153,0.389,0.435,-14.302,0.0734,0.197,0.916,0.104,0.549,148.122,6TQsydIZ83OX2zet2Sg3Di,208600
